question,generated_answer,reference_answer,,,,,
Please briefly define and explain each of the following EU law terms and concepts: a) Indirect challenge of an EU act b) National procedural autonomy c) The principle of supremacy d) Non-legislative EU act e) Field of application of EU fundamental rights,"a) **Indirect challenge of an EU act**: This concept refers to the situation where the validity of an EU act is challenged before a national court, not directly but incidentally, in a dispute that has been brought before it. In such cases, the national court may, and sometimes must, refer the question of validity to the Court of Justice of the European Union for a preliminary ruling.

b) **National procedural autonomy**: This principle acknowledges that in the absence of specific EU rules, it is for the domestic legal system of each Member State to designate the courts and tribunals having jurisdiction and to lay down the detailed procedural rules governing actions for safeguarding rights which individuals derive from EU law. However, these national procedures must not be less favorable than those governing similar domestic actions (principle of equivalence) nor render virtually impossible or excessively difficult the exercise of rights conferred by EU law (principle of effectiveness).

c) **The principle of supremacy**: This fundamental principle of EU law states that European Union law has primacy over national laws of EU Member States. This means that in areas where the EU has competence, laws adopted at EU level take precedence over national laws. This principle ensures the uniform application of EU law across all Member States.

d) **Non-legislative EU act**: These are acts adopted by EU institutions that are not part of the legislative process outlined in the Treaties. They can include delegated acts, implementing acts, or other acts such as decisions, opinions, or recommendations issued by the European Commission, Council, or other EU bodies. As highlighted in ""Commission of the European Communities v European Parliament and Council of the European Union,"" these acts can involve both the creation of implementing rules and the application of rules to specific cases.

e) **Field of application of EU fundamental rights**: The field of application of EU fundamental rights refers to the scope within which these rights, as enshrined in the Charter of Fundamental Rights of the European Union, apply. This includes situations where Member States are implementing Union law, as well as situations where EU institutions are acting. Fundamental rights are applicable in all areas where the EU has competence, ensuring that the actions of the EU and its Member States respect these rights.","a) Indirect challenge of an EU act - An EU act can be challenged outside of the review of legality procedure described in Article 263 TFEU. This follows from Article 277 TFEU. The idea of an indirect challenge is that the Court of Justice can review the validity of an EU act within the scope of a different procedure, for example the preliminary ruling procedure (see Article 267 TFEU).  b) National procedural autonomy - EU law normally (but naturally with many exceptions) contains material rules, but not rules about procedures and remedies. This is left for the Member States to regulate. This idea is known as national procedural autonomy. However, the Court of Justice has made it clear that national procedural rules must fulfil two conditions - equivalence and effectiveness. The former means that the national rules may not treat EU claims less favourable than comparable national claims. The latter means that it must not be excessively difficult or virtually impossible to obtain reparation. These conditions are articulated by the Court of Justice in the Francovich case (and in many others).  c) The principle of supremacy - In a situation of conflict between national law and EU law the latter should be given precedence. The principle was established by the Court of Justice in the Costa v ENEL case, and in the Internationale Handelsgesellschaft case the Court insisted on absolute supremacy, i.e. that any binding EU norm will take precedence over any national norm, even if the latter is part of the national constitution.  d) Non-legislative EU act - Following the Lisbon Treaty a distinction is made between legislative and non-legislative acts. This adds another dimension to the EU system of norms, supplementing the previous distinction between regulations, directives and decisions. From Article 289.3 TFEU it follows that legislative acts are adopted by a legislative procedure (the ordinary procedure or a special procedure). Consequently, a non-legislative act is an act that has not been created by any legislative procedure. However, it is important to emphasise that non-legislative acts are still binding. Examples of non-legislative acts include delegated acts (Article 290 TFEU) and implementing acts (Article 291 TFEU).  e) Field of application of EU fundamental rights - The field of application of EU fundamental rights, or differently put the scope of the rights, concerns what action and by whom is covered by the rights. According to Article 51 of the Charter the EU is bound by fundamental rights in all its action, but the Member States are only bound by them when they are 'implementing' EU law. This goes back to the limited power of the Union and the fact (emphasised in Article 6 TEU and Article 51.2 of the Charter) that the Charter does not expand the competences of the EU.",,,,,
"Assume the following: A dispute has arisen between two toy companies, the Swedish company Happy Times and the Danish company Big Fun. The Danish company is selling the controversial 'Bang', a toy gun that shoots water, in Sweden. Happy Times is upset, as their own sales have gone down due to the success of the 'Bang'. Happy Times argues that the sale of the 'Bang' is a violation of Swedish law. Swedish legislation clearly prohibits any 'immoral or inappropriate toys', and according to the Swedish preparatory works to the legislation this includes any toy imitating a firearm. Consequently, Swedish courts have upheld a ban on toys imitating firearms for more than 30 years.  A couple of years ago the EU issued the Safe Toys Directive. The directive is a maximum harmonization act, regulating all issues related to the production, marketing and sale of toys in the Member States. The background to the directive is that the significant differences in rules between the Member States have made trade in toys difficult between the states, thus hampering the proper function of the internal market. One of the goals of the directive is to limit the situations when a toy may be banned. Consequently, according to the directive the production, marketing or sale of a toy may only be prohibited when it is 'obviously dangerous in normal use'. However, Sweden has not implemented the directive, despite the fact that the implementation period has long since passed. Happy Times has now sued Big Fun before a local Swedish court, asking for a declaration that Big Fun is violating Swedish law by selling the 'Bang', and requesting compensation for lost profits due to the illegal sale of the toy. Big Fun is contesting the suit, and claims that it is protected by the Safe Toys Directive. Your assignment: Discuss thoroughly whether Big Fun can rely on the Safe Toys Directive in any way in the situation above.","In the given scenario, Big Fun, the Danish company selling the 'Bang' toy gun in Sweden, may have grounds to rely on the Safe Toys Directive, despite Sweden's failure to implement it. The directive is a maximum harmonization act, meaning it regulates all issues related to the production, marketing, and sale of toys in the Member States comprehensively. Its purpose is to reduce disparities in rules between Member States that hinder toy trade and impede the proper functioning of the internal market.

One of the key goals of the directive is to limit situations where a toy can be banned. Specifically, the directive allows the prohibition of a toy's production, marketing, or sale only when it is ""obviously dangerous in normal use."" This provision aims to create a uniform standard across the EU for when toys can be banned, superseding more restrictive national standards like Sweden's prohibition on toys imitating firearms.

The case of ""The Queen, on the application of: Swedish Match AB and Swedish Match UK Ltd v Secretary of State for Health"" supports the idea that EU measures can require Member States to authorize the marketing of products under certain conditions or even prohibit the marketing of products. This principle can be applied to the Safe Toys Directive, suggesting that Sweden's ban on toys imitating firearms might be overridden by the directive's criteria for banning toys.

Moreover, the principle established in ""Criminal proceedings against Gunnar Nilsson, Per Olov Hagelgren and Solweig Arrborn"" clarifies that national rules applying without distinction as to the origin of the products do not fall within the scope of Article 30 (now Article 34 TFEU) on the free movement of goods. However, Sweden's ban specifically targets a type of toy that is being marketed by a company from another Member State, which could be seen as a measure having equivalent effect to a quantitative restriction on trade between Member States.

Given these considerations, Big Fun can argue that the Swedish ban on toys imitating firearms is incompatible with the Safe Toys Directive. The directive's provisions on when a toy can be banned should prevail over the Swedish legislation, as the directive aims to harmonize and facilitate trade within the internal market. Therefore, Big Fun may rely on the directive to contest the legality of the Swedish ban and the lawsuit brought by Happy Times.","The first issue to be explored is whether Big Fun can directly use the Safe Toys Directive against Happy Times in the case before the Swedish court. We know, following the van Duyn case, that provisions in directives can have direct effect, assuming that they fulfil the general conditions (clear, precise and unconditional - see van Gend en Loos and following cases) and if the time period for implementation has passed (see e.g. the Ratti case). In the case at hand we know that the time period for implementation has passed and the provision stating that toys can only be banned if they are 'obviously dangerous in normal use' would appear to be sufficiently clear, precise and unconditional to be applied by national courts (compare the reasoning concerning what is now Article 45 TFEU in the van Duyn case). However, another issue is more problematic. According to e.g. the Dori case provisions in directives cannot be given horizontal direct effect. In the case at hand both parties are private companies, making this a horizontal relationship and excluding the use of the principle of direct effect. (An alternative, equally correct, answer would be to argue that this constitutes a triangular situation, as in the Unilever case. Big Fun simply requests the Swedish rules to be disapplied, so that they may sell their product. Following the Unilever line of cases this might be considered a triangular situation, not a horizontal one). If direct effect cannot be used the alternative is indirect effect, developed by the Court of Justice in the von Colson case. According to the principle of indirect effect national courts must interpret national law (implementation legislation as well as all other national legal provisions, see e.g. the Marleasing case) in line with the directive, to achieve the goals of the directive. Indirect effect is possible also in horizontal situations (see e.g. the Marleasing case). Full indirect effect requires that the time period for implementation has passed, which is the case in the situation at hand. However, indirect effect will only be successful if it is possible for the national court to interpret the national rules in line with the directive. In other words, some room for interpretation must exist (see e.g. the Dori case). Arguably, the Swedish legislation is worded in such general terms ('immoral or inappropriate') that it is possible for Swedish courts to give it a new interpretation in line with the directive. The fact that the Swedish preparatory works indicates another interpretation does not matter. National courts are not expected to interpret contra legem - against the wording of legislation - but they cannot rely on preparatory works to disregard their duties according to EU law. Thus, it should be possible for the Swedish court to interpret the Swedish legislation in line with the directive, allowing the sale of the 'Bang'. Issues of damages are not really part of the question, as it asks you to discuss how Big Fun can use EU law in the ongoing case against Happy Times. However, I have interpreted the question generously, giving points for well-crafted discussions of state liability as well. The principle of state liability was established by the Court of Justice in the Francovich case, giving individuals a right to damages if a Member State has violated a provision of EU law giving rights to individuals, the breach of EU law is sufficiently serious and if there is a causal link between the breach and the damage (see e.g. the Brasserie du Pêcheur case). In the situation at hand, assuming that Big Fun were not successful in their attempt to use direct or indirect effect to allow the sale of their product, they might be able to obtain damages instead. The Safe Toys Directive could be said to give them rights, as it is explicitly designed to allow the sale of toys. The breach of EU law by Sweden is sufficiently serious, as non implementation of a directive is always sufficiently serious (see e.g. Francovich). Finally, it could be argued that there is a clear causal link between the breach and their damage (loss of profit).",,,,,
"Please briefly define and explain each of the following EU law terms and concepts. Remember to cite relevant legal authority (Treaty articles and cases, if relevant) in support of each answer: a) Special legislative procedure b) Measures having equivalent effect to quantitative restrictions (MEQRs), c) Concerted practices, d) Enforcement actions/infringement proceedings, e) Proportionality","a) **Special legislative procedure**: This term refers to the various legislative processes in the EU that do not follow the ordinary legislative procedure, which typically involves the European Parliament and the Council of the EU acting together. The special legislative procedures are determined by the legal basis of the measure, as emphasized in ""European Parliament v Council of the European Union,"" where it is established that the legal basis of a measure dictates the procedure to be followed in adopting that measure. This means that depending on the Treaty article under which a measure is proposed, different procedural rules may apply, sometimes involving other institutions or requiring unanimity rather than qualified majority voting.

b) **Measures having equivalent effect to quantitative restrictions (MEQRs)**: MEQRs are rules enacted by EU Member States that are capable of hindering, directly or indirectly, actually or potentially, intra-Community trade. This concept is clarified in ""Commission of the European Communities v Federal Republic of Germany,"" which references the seminal case ""Dassonville."" This interpretation is consistently supported by other cases such as ""Commission v Denmark"" and ""Commission of the European Communities v Kingdom of the Netherlands."" These measures, although not outright quantitative restrictions like quotas, can still impede trade and are thus covered by the prohibition set out in Article 28 EC (now Article 34 TFEU).

c) **Concerted practices**: The term ""concerted practices"" is not explicitly defined in the provided context. However, in EU competition law, concerted practices generally refer to forms of coordination between undertakings which, without having reached the stage where an agreement properly so-called has been concluded, knowingly substitute practical cooperation between them for the risks of competition. This concept is often discussed in cases related to anti-competitive behavior under Article 101 TFEU.

d) **Enforcement actions/infringement proceedings**: Enforcement actions or infringement proceedings are processes initiated by the European Commission against Member States that fail to fulfill their obligations under EU law. These proceedings can lead to judgments by the Court of Justice of the European Union, as seen in cases like ""Commission of the European Communities v Federal Republic of Germany"" and ""Commission of the European Communities v Kingdom of the Netherlands."" These actions ensure that Member States comply with their Treaty obligations and EU legislation.

e) **Proportionality**: The principle of proportionality requires that measures adopted by Member States do not exceed what is necessary to achieve their objectives. In the context of MEQRs, national legislation that hinders trade can be justified on grounds of public interest or imperative requirements, but only if the measure is appropriate for securing the objective and does not go beyond what is necessary. This principle is highlighted in ""Commission of the European Communities v Kingdom of the Netherlands,"" which references cases like ""Commission v Italy"" and ""Commission v Finland."" The proportionality test ensures that any restrictions on trade are balanced against the legitimate aims of the national legislation.","a) Special legislative procedure: Legislative acts in the EU can be created by using either the ordinary or the special legislative procedure. Article 289.2 TFEU states that the special legislative procedure is used when specifically provided for in the Treaties. The somewhat enigmatic statement in Article 289.2 'by the European Parliament with the participation of the Council, or by the latter with the participation of the European Parliament' indicates that the special legislative procedure varies. In contrast to the ordinary legislative procedure, where the two institutions co-operate, one of the institutions typically dominate in the special legislative procedure. b) MEQR: MEQR are practical obstacles to trade. They are not quotas, but they have equivalent effect to quotas. MEQR are prohibited by Article 34 and 35 TFEU. The Court of Justice famously defined MEQR in Dassonville as any measure that 'directly or indirectly, actually or potentially' affect trade between the Member States. In later judgments the Court has differentiated between product rules (such as the ones in Cassis de Dijon) and selling arrangements (such as the ones in Keck), but also done a complete re-take on MEQR in the Trailers case, concluding that discriminatory rules, product rules and any other measure that prevent market access are MEQR. c) Concerted practices: 'Concerted practices' is a term used in EU competition law, more specifically in Article 101 TFEU. Article 101 prohibits cartels, often formed by agreements between undertakings. The idea of concerted practices is a safety net, catching forms of collusion not created by a formal agreement, but by undertakings knowingly substituting practical co-operation. This is usually demonstrated by the behaviour of the companies in question. d) Enforcement actions/infringement proceedings: Enforcement actions or infringement proceedings are two names for the legal procedure that can be initiated against a Member State in violation of EU law, by action or inaction. The procedure is primarily regulated by Article 258 TFEU, laying down first an administrative and then a legal procedure. The Commission normally plays the leading role in enforcement actions, but it is possible for another Member State to initiate enforcement action according to Article 259 TFEU. According to Article 260 the CJEU can impose a lump sum or penalty payment as part of the procedure. e) Proportionality: According to the principle of proportionality a measure must be both suitable and necessary to achieve the stated objective. It applies to both the EU and the Member States. Article 5.4 TEU makes it clear that Union action must always (thus, even in areas of exclusive EU competence) respect the principle of proportionality. The principle is also famously applied when the Member States limit the freedom of movement on the internal market. In these situations the CJEU has sometimes applied the proportionality principle strictly, putting extensive demands on the Member States. The Commission v Portugal case, concerning sun film on cars, is an example of this strict scrutiny.",,,,,
"Imagine the following hypothetical scenario: Cynthia, a French national who is living in Belgium with her Belgian boyfriend, wants to renew her residence permit. When she arrived in Belgium she had a full-time job as a chemistry lecturer at the University of Brussels, but now she is only working 10 hours a week as a private chemistry teacher. According to the Belgian authorities, this modification in her employment situation means that she can no longer be considered an “EU worker”. a) Is this in accordance with EU law? Why/why not? She later seeks a job at the Ministry of Higher Education, Scientific Policy and Media, but her application is rejected on the grounds that she is not a Belgian citizen. According to Belgian law, only Belgian citizens can hold these jobs. b) Is this in accordance with EU law? Why/why not? Cynthia also seeks a job at a private academy as a tutor for university students who need extra support in chemistry. Once again, her application is rejected because she is not a Belgian citizen and because she does not comply with the linguistic requirements for the employment. According to the recruiters, even if French is the official language, an advanced level of other EU languages is necessary for the job as many of their students are exchange students who need classes in their native languages. c) Is this in accordance with EU law? Why/why not? When you answer the questions above try to organize a concise answer, explaining your reasoning and stating the relevant sources of EU law.","a) The Belgian authorities' stance that Cynthia can no longer be considered an ""EU worker"" due to her reduced working hours is not in accordance with EU law. In ""Commission of the European Communities v Kingdom of Belgium,"" it was established that restrictions on workers based on nationality are prohibited under Article 7 of the Treaty. Additionally, EU law emphasizes the right of residence for workers who can produce a valid identity card or passport, irrespective of their entry document, as clarified in ""Mouvement contre le racisme, l'antisémitisme et la xénophobie ASBL (MRAX) v Belgian State."" Therefore, Cynthia's change in employment status should not affect her right to reside in Belgium as an EU national.

b) The rejection of Cynthia's application for a job at the Ministry of Higher Education, Scientific Policy and Media solely based on her not being a Belgian citizen is in accordance with EU law. As outlined in ""Georgios Alevizos v Ypourgos Oikonomikon,"" Member States have the right to restrict admission of foreign nationals to certain positions in the public service that require a special relationship of allegiance to the State. This principle allows for such restrictions to ensure the bond of nationality, as also seen in ""Commission of the European Communities v Kingdom of Belgium.""

c) The rejection of Cynthia's application for a job at a private academy based on her nationality and linguistic requirements is a more nuanced issue. While EU law prohibits discrimination on grounds of nationality, as seen in ""Commission of the European Communities v Kingdom of Belgium,"" the requirement for linguistic competence can be justified if it is a genuine and determining occupational requirement. In ""Government of the French Community and Walloon Government v Flemish Government,"" it was clarified that citizenship of the Union does not extend to internal situations without a link to Community law. If the linguistic requirements are genuinely necessary for the job due to the diverse linguistic needs of exchange students, this could be a legitimate reason for the rejection, provided it is applied equally to all applicants regardless of nationality.","a) The personal scope of Article 45 TFEU: According to Article 45 TFEU there is a right to free movement for workers within the EU. Since Cynthia is a French national, she falls within the personal scope of this article. Cynthia is currently working as a part time teacher and due to her part time employment; the Belgian authorities stated that she could no longer be considered an 'EU worker'. In order to determine if this decision is legally correct, it is necessary to examine if part time employment could be included under the scope of Article 45 TFEU. The content and extent of the right to free movement of workers enshrined in the latter provision has been expanded through both the jurisprudence of the ECJ and secondary EU law. Under the guidelines provided by the ECJ, an individual has to comply with certain requirements in order to be considered an EU worker, such as, the performance of services for a certain period of time, being under the direction of another person and in exchange of a remuneration (see e.g. Lawrie- Blum v. Land Baden- Württemberg). In particular, the Court has expressly referred to part time work in the Levin case. According to ECJ in the latter decision: 'part-time employment is not excluded from the field of application of the rules on freedom of movement for workers as long as the person performs an effective and genuine activity, not on such a small scale as to be marginal or ancillary'(Levin v. Statssecretaris van Justitie). In the views of the Court, an effective and genuine activity covers full-time, part-time and occasional work as long as there is an employment relationship with regard to work that is 'not purely marginal or ancillary' (Kempf v. Staatscretaris van Justitie). Based on this it would be possible to conclude that the decision emitted by the Belgian authorities was not in accordance with EU law. b) The public service exception: Article 45 TFEU entails the abolition of any discrimination based on nationality between workers of the Member States as regards employment, remuneration and other conditions of work and employment. To refuse Cynthia a job because of her nationality constitutes direct discrimination. However, as an exception to this, according to Article 45(4) TFEU, States may reserve posts in the public service for their own nationals. Nevertheless, it is noteworthy to mention that the ECJ has given a narrow interpretation to this provision. It follows from the jurisprudence of the regional tribunal that the position in question 'must be connected with the specific activities of the public service in so far as it is entrusted with the exercise of powers conferred by public law and with responsibility for safeguarding the general interest of the State' (Commission v. Belgium). It would be necessary therefore to examine if the job that Cynthia has applied for at the Ministry of Higher Education, Scientific Policy and Media falls within this category. c) Nationality requirements: As introduced above, Article 45 TFEU entails the abolition of any discrimination based on nationality between workers of the Member States. The prohibition of discrimination has also been extended by the Workers Regulation (Art. 7.1) and by the ECJ through its case law (see e.g. John O'Flynn v. Adjudication Office). Under the light of the above, to refuse Cynthia a job because of her nationality constitutes direct discrimination. A private academy is not under the exception included in Article 45 (4) TFEU concerning jobs in the public service. Language requirements: As we discussed in class, ECJ recognized prohibition of direct and indirect discrimination. It follows from the case law of the Court that: '[t]he rules regarding equality of treatment, both in the Treaty and in Article 7, forbid not only overt discrimination by reason of nationality but also all covert forms of discrimination which, by the application of other criteria of differentiation, lead in fact to the same result' (Sotgiu v. Deutsche Bundespost). Accordingly, indirect discrimination occurs when national laws do not include discrimination on the surface (i.e. they are applicable irrespective of nationality) but create in practice a discriminatory effect towards migrant workers or they are more easily satisfied by national workers than by migrant workers. Language requirements are likely to have an indirect discriminatory effect, since the host country's own citizens are more likely to meet the requirements. However, in this hypothetical scenario, the requirement of a third language does not favor Belgian citizens and it is related to the nature of the job, which can lead one to conclude that the linguistic knowledge required has not been applied in a discriminatory manner.",,,,,
"Problem is brewing in Fantasia, a member state of the European Union. Good Enough is a private company offering various construction services, primarily to other companies. Good Enough has recently acquired a contract to build a new company headquarters for Big Money, a private bank in Fantasia. However, after completing the construction Good Enough and Big Money became embroiled in a dispute. The bank argued that Good Enough had not fulfilled the contract between the parties. The contract stipulated that the building should be constructed “in accordance with national legislation in force on January 1, 2019”. More specifically, Big Money pointed to the 1948 Law on Public Safety. Paragraph 138 of said national legislation requires that any building designed for more than 10 people (living or working) must include a shelter. Said shelter must be large enough to accommodate all persons living or working in the building. Furthermore, the shelter must be constructed to certain specifications, including being constructed by reinforced concrete. Good Enough has not included a shelter in the building, as they think it is totally unnecessary. Reinforced concrete is also very expensive, and its use would make the project economically unrealistic. Furthermore, Good Enough points to the Safe Building Directive, adopted by the European Union in 2015. Article 1 of the directive establishes that the aim of the directive is to harmonize building standards in the Member States, to enable trade in construction work on the internal market. Articles 5-15 of the directive establish (in considerable detail) the meaning of good building practices for different kinds of buildings. Article 20 of the directive states: “The Member States may not introduce any further requirements on construction work and good building practices, beyond what is laid down in Article 5-15”. Article 5-15 does not mention shelters as part of any building type. The Safe Building Directive was adopted by the Council and the Parliament in May 2015. It entered into force on the first of June 2015. Article 30 of the Directive states: “The Member States shall take the measures necessary to comply with this Directive not later than 31 December 2016”. Fantasia implemented the Directive on June 1, 2016, by adopting the 2016 Construction Act. The act reproduces, word for word, Article 5-15 of the Safe Building Directive. However, no changes were made to the 1948 Law on Public Safety. Big Money has now sued Good Enough before a local court in Fantasia, demanding damages as Good Enough is in breach of contract due to the missing shelter. Good Enough disputes the claim, arguing that paragraph 138 of the 1948 Law on Public Safety must be set aside in the case at hand. Good Enough claims that the fact that paragraph 138 was not repealed is obviously just a mistake and that they can rely on Article 20 of the Safe Building Directive in the dispute. Big Money has responded to this claim by stating that the 1948 Law on Public Safety was in effect on January 1, 2019, and still remains in effect. Furthermore, they claim that the 1948 Law was not affected by the Safe Building Directive, as it concerns the separate issue of public safety. Your assignment: You are a judge at the above-mentioned local court in Fantasia, in charge of the dispute between Big Money and Good Enough. Discuss thoroughly how you would resolve the EU law-related issues in the case, and why?","In resolving the EU law-related issues in the dispute between Big Money and Good Enough, the key question is whether the 1948 Law on Public Safety, specifically Paragraph 138, can be enforced given the provisions of the Safe Building Directive adopted by the EU in 2015. The directive aims to harmonize building standards across Member States to facilitate trade in construction work within the internal market. Articles 5-15 of the directive detail good building practices for various types of buildings, and critically, Article 20 prohibits Member States from introducing any further requirements beyond those specified in Articles 5-15.

Good Enough argues that Paragraph 138 of the 1948 Law on Public Safety should be set aside because it conflicts with Article 20 of the Safe Building Directive. The directive was implemented in Fantasia through the 2016 Construction Act, which mirrors Articles 5-15 of the directive. However, the 1948 Law on Public Safety was not amended or repealed.

The principle of the primacy of EU law is crucial here. EU law takes precedence over conflicting national laws. In ""Commission v Belgium,"" the Court held that a Member State failed to fulfill its obligations because it did not provide workers with the protection envisaged by a directive in all relevant cases. This underscores the importance of compliance with EU directives.

Moreover, the principle of legal certainty is relevant. As established in ""Belgische Staat v Cobelfret NV,"" the Court restricts the opportunity to rely on an interpreted provision to challenge legal relationships established in good faith only exceptionally. This exception applies when those concerned acted in good faith and there is a risk of serious difficulties.

In this context, Good Enough's reliance on Article 20 of the Safe Building Directive is justified. The directive explicitly prohibits Member States from imposing additional requirements beyond those specified in Articles 5-15. Since shelters are not mentioned in these articles, Fantasia's 1948 Law on Public Safety, which mandates shelters, conflicts with the directive.

Big Money's argument that the 1948 Law on Public Safety concerns a separate issue of public safety does not override the directive's provisions. The directive's aim to harmonize building standards encompasses all aspects of construction, including safety features. The fact that the 1948 Law was not repealed does not negate the primacy of EU law.

Therefore, as a judge, I would rule that Paragraph 138 of the 1948 Law on Public Safety must be set aside in this case. Good Enough can rely on Article 20 of the Safe Building Directive, which takes precedence over the conflicting national legislation. This conclusion is supported by the principles of the primacy of EU law and legal certainty, ensuring that EU harmonization goals are upheld.","The question concerns direct effect - Good Enough (GE) expressly states that it wants to “rely on Article 20” before the local court. However, first we must decide if there is a conflict between national law and EU law. Big Money (BM) claims that no conflict exists - which would put an end to the discussion. However, it is clear that the issue is regulated by EU law. Article 1 of the Directive states that its aim is harmonize building standards and enable trade. Consequently, the 1948 Law on Public Safety is in conflict with the Directive. Before moving on it is important to note that supremacy needs direct effect to work. If the EU provision cannot be relied upon there is no conflict. Direct effect is possible if the provision is clear, precise and unconditional (e.g. van Duyn). That is the case here - Article 20 is clear on not allowing demands other than those in Art. 5-15. However, this is a dispute between two private parties, and directives cannot produce horizontal direct effect (e.g. Dori). An alternative is indirect effect, i.e. the duty of the local court to interpret national law in light of the Directive (e.g. von Colson). It applies also in horizontal situations (Marleasing). The duty of indirect effect requires extensive effort on behalf of the national court, but it is not without limits. There is no duty to interpret contra legem, against the clear wording. For indirect effect to work the national court needs some room to interpret. This appears difficult in the case at hand. The 1948 Law is very specific, and it seems unlikely that the local court can interpret this obligation away. (An alternative to discussing indirect effect is to discuss so-called triangular situations - e.g. CIA Security. It is possible to argue that it could be applied here, and that it is not a horizontal situation but rather so-called incidental effects. However, the consequences would be to alter the terms of private contract, which is problematic.) The final option is state liability (Francovich). The provision in question must create rights for individuals, the breach must be sufficiently serious and there must be a causal link between breach and damage (Brasserie du Pêcheur). The first condition is arguably fulfilled. Article 20 could be regarded as a right for traders not to be subject to further rules. Regarding the second condition: This is a case of incorrect implementation, why sufficient breach must be established. This should be possible, as Fantasia should have been aware of the 1948 law. Finally, whether the causal link is fulfilled or not is open to discussion. GE could have avoided the situation by negotiating a different. The main hurdle when it comes to state liability is that the Member State is not part of the process before the court. GE would have to start a separate case against Fantasia, if they lose the case against BM.",,,,,
"Please briefly define and explain each of the following EU law terms and concepts. Remember to cite relevant legal authority (Treaty articles and cases, if relevant) in support of each answer: a) The ordinary legislative procedure (OLP) b) State liability c) The roeliminary ruling procedure d) indirect effect e) Subsidiarity","a) **The Ordinary Legislative Procedure (OLP)** is the main legislative procedure used in the EU decision-making process. It involves the joint adoption of a proposal by the European Parliament and the Council of the European Union, with each institution acting as a co-legislator. The procedure typically includes three readings, during which the Parliament and the Council can propose amendments to the legislation. This process ensures that both institutions have an equal say in the adoption of EU laws, reflecting the democratic principles enshrined in the Treaties.

b) **State Liability** refers to the principle that Member States can be held liable for damages caused to individuals by their breach of EU law. This principle was established in the joined cases of ""Brasserie du Pêcheur SA v Bundesrepublik Deutschland and The Queen v Secretary of State for Transport, ex parte: Factortame Ltd and others."" The Court outlined a system of rules regarding Article 215 of the Treaty, which considers the complexity of situations, difficulties in applying or interpreting texts, and the margin of discretion available to the author of the act in question. This ensures that individuals can seek compensation for damages resulting from a Member State's failure to comply with EU law.

c) **The Preliminary Ruling Procedure** is a mechanism that allows national courts to refer questions of EU law to the Court of Justice of the European Union (CJEU) for interpretation. This procedure ensures the uniform application and interpretation of EU law across all Member States. When a national court has doubts about the interpretation or validity of EU law, it can request a preliminary ruling from the CJEU. This collaborative process between national courts and the CJEU helps maintain the consistency and effectiveness of EU law.

d) **Indirect Effect** refers to the obligation of national courts to interpret national law in conformity with EU law, even if the national legislation predates the EU legislation. This principle ensures that EU law is effectively applied within the legal systems of Member States. The concept of indirect effect is crucial for the harmonization of national laws with EU law, promoting the uniform application of EU legal principles across the Union.

e) **Subsidiarity** is a principle that governs the exercise of powers by the EU institutions. It requires that, in areas which do not fall within its exclusive competence, the EU shall act only if and in so far as the objectives of the proposed action cannot be sufficiently achieved by the Member States, either at central level or at regional and local level, but can rather, by reason of the scale or effects of the proposed action, be better achieved at Union level. This principle ensures that decisions are taken as closely as possible to the citizen and respects the powers of the Member States, promoting efficient and effective governance within the EU.","a) The ordinary legislative procedure (OLP): Article 294 Treaty on the functioning of the European Union sets out the content of the ordinary legislative procedure. The Commission holds the initiative and sends the legislative proposal to the Parliament and the Council. The latter two share equal power. There are three potential 'readings' in the process. The Parliament votes with simple/absolute majority and the Council with qualified majority/unanimously. In practice, the procedure includes informal negotiations called trilogues speeding up the legislative process. b) State liability: The principle of state liability entails that a Member State is liable for loss and damages caused to individuals as a result of breaches of EU law. The legal basis is found in the case-law of the Court of Justice, namely Francovich. The principle was later adjusted in Brasserie du pêcheur. There are three criteria that need to be fulfilled. 1. the rule of Union law breached is intended to create rights for the individual, 2. the breach is sufficiently serious, and, 3. there is a casual link between the breach of the obligation borne by the state and the damage suffered. c) Preliminary ruling procedure: The preliminary ruling procedure is a mechanism where national judges can turn to the Court of Justice and ask how unclear EU law provisions are to be interpreted, but also about the validity of EU provisions. This is stated in Article 267 Treaty on the functioning of the European Union. Apex courts are as a rule of thumb under an obligation to refer (exceptions in CILFIT and Consorzio Italian Management) while lower courts may submit questions. Questions regarding validity must however be referred, see Foto-Frost. The preliminary ruling procedure aims at securing a uniform interpretation/application of EU law in the Union, but also to secure individual's EU rights. d) Indirect effect: If the conditions for direct effect for a directive is not met, the next best thing is indirect effect. The principle of indirect effect lays out an obligation for national courts to interpret domestic law, as far as possible, in conformity with directives. The principle was developed in Von Colson. The obligation applies even where the national law predates the directive, it requires national courts to make changes to established case law, if it is based on an interpretation of domestic law contravening the objectives of a directive, but it does not oblige interpretations of domestic law contra legem. e) Subsidiarity: Article 5(3) Treaty on European Union states that “[…] in areas which do not fall within its exclusive competence”, “The Union shall act only if and in so far as the objectives and proposed action cannot be sufficiently achieved by the Member States, but rather, by reason of the scale or effects of the proposed action, be better achieved at Union level”. The principle separates the presence of the Union's competence and the possibility of exercising that competence. National parliaments play a controlling role. The subsidiarity Protocol is important in that regard.",,,,,
